domain,ipv4,ipv6,cname,status,checked_at
eservices.gov.zm,165.56.40.86,,,OK,2025-12-13T13:26:31+02:00
ewsc.co.zm,196.12.12.102,,,OK,2025-12-13T13:26:32+02:00
exams-council.org.zm,41.63.0.22,,,OK,2025-12-13T13:26:32+02:00
fic.gov.zm,196.12.12.102,,,OK,2025-12-13T13:26:33+02:00
forestry.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:34+02:00
fra.org.zm,217.69.10.8,,,OK,2025-12-13T13:26:34+02:00
geec.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:35+02:00
gncz.org.zm,,,,NXDOMAIN,2025-12-13T13:26:35+02:00
gov.zm,,,,NXDOMAIN,2025-12-13T13:26:36+02:00
gsb.gov.zm,165.56.40.86,,,OK,2025-12-13T13:26:38+02:00
hea.org.zm,41.63.0.22,,,OK,2025-12-13T13:26:39+02:00
hpcz.org.zm,185.230.63.107,,,OK,2025-12-13T13:26:39+02:00
hrc.org.zm,102.23.120.16,,,OK,2025-12-13T13:26:40+02:00
idc.co.zm,,,,NXDOMAIN,2025-12-13T13:26:41+02:00
indeni.com.zm,196.46.215.136,,,OK,2025-12-13T13:26:41+02:00
infratel.co.zm,102.23.122.17,,,OK,2025-12-13T13:26:42+02:00
izb.co.zm,20.119.8.34,,,OK,2025-12-13T13:26:43+02:00
jcc.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:44+02:00
judiciary.gov.zm,;; communications error to 172.20.10.1#53: timed out,;; communications error to 172.20.10.1#53: timed out,;; communications error to 172.20.10.1#53: timed out,OK,2025-12-13T13:27:00+02:00
kitwecouncil.gov.zm,165.56.40.98,,,OK,2025-12-13T13:27:00+02:00
kmu.ac.zm,41.63.0.22,,,OK,2025-12-13T13:27:01+02:00
knu.ac.zm,,,,NXDOMAIN,2025-12-13T13:27:02+02:00
kwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:27:02+02:00
lands.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:04+02:00
laz.org.zm,162.241.226.109,,,OK,2025-12-13T13:27:05+02:00
lcc.gov.zm,216.172.109.35,,,OK,2025-12-13T13:27:07+02:00
lgazambia.org.zm,198.202.211.1,,,OK,2025-12-13T13:27:07+02:00
livingstonecouncil.gov.zm,165.56.40.105,,,OK,2025-12-13T13:27:08+02:00
lmmu.ac.zm,155.0.48.6,,,OK,2025-12-13T13:27:08+02:00
lpwsc.co.zm,20.87.80.68,,,OK,2025-12-13T13:27:09+02:00
lsk.gov.zm,41.215.183.58,,,OK,2025-12-13T13:27:10+02:00
lua.gov.zm,154.120.217.150,,,OK,2025-12-13T13:27:10+02:00
lukwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:27:12+02:00
